_id,date,viewCount,__v
675bbd9e73b3ae16f53b7bfc,2024-12-13,229,0
675fb0d791d4bf5c14ba3334,2024-12-16,200,0
6760fee4ce766e36024fbe13,2024-12-17,176,0
6763a7fdeb6b6af6c259aea2,2024-12-19,68,0
6764f9ca39836059ae635d5a,2024-12-20,79,0
6766516dcab8d58639030b99,2024-12-21,46,0
6768eb6e07362ecd91e2a6b1,2024-12-23,110,0
676a41337420769450643014,2024-12-24,79,0
676b8ec988ee657a64d15238,2024-12-25,22,0
676ce41d8ec019c0b662e28d,2024-12-26,41,0
676e2dc8987656c47560896a,2024-12-27,39,0
676f80aed07270fdf0746d55,2024-12-28,57,0
6772222c07c733cfd31be6f1,2024-12-30,165,0
6773768fe21c69280f6d18ab,2024-12-31,36,0
6774c811ec919169973dce5f,2025-01-01,21,0
67761cd1f297204c6b773f12,2025-01-02,40,0
67776af6482adc01af4b132b,2025-01-03,20,0
677b6020e7a3aca7dc65d35b,2025-01-06,85,0
677cae07c9a056c4a3ef6aef,2025-01-07,34,0
677e0478a14781ff818f9269,2025-01-08,23,0
677f57f76354159820c6b0ac,2025-01-09,24,0
6781fd68627ad7fd3c55073f,2025-01-11,25,0
6781fd68627ad7fd3c550741,2025-01-11,1,0
6784a0f9eb2a6d181bfc29ca,2025-01-13,123,0
6788957f935659610aa9bdec,2025-01-16,34,0
6789e20a6977974c3f7f0a61,2025-01-17,50,0
678b32f14ea3156839769992,2025-01-18,16,0
678dd5b9f49123607c5f9544,2025-01-20,34,0
678f2597b6741bff1e1e1423,2025-01-21,42,0
678f2597b6741bff1e1e1427,2025-01-21,1,0
6790825fb1c36727e6bf25f5,2025-01-22,181,0
6790825fb1c36727e6bf25f7,2025-01-22,1,0
6791cb41531215682d2cca6a,2025-01-23,200,0
67934fec5fd0afcbd1d98df3,2025-01-24,37,0
67946cc8d77ef711206eb971,2025-01-25,155,0
6797148741528f58f0bfa04f,2025-01-27,95,0
679861bb5c1cf31461ca211d,2025-01-28,222,0
6799b4c782a204119a25ed03,2025-01-29,202,0
679b0c60f335886f470625ca,2025-01-30,45,0
679c56c3b3e3595282b2a93a,2025-01-31,40,0
679da8c3cbbd89ef48c3846b,2025-02-01,34,0
67a2eda2a1e803787659955b,2025-02-05,12,0
